(3, 1, 3)
(41, 1, 41)
(71, 1, 71)
(607, 1, 607)
(6299, 1, 6299)
(6673, 1, 6673)
(11311, 1, 11311)
(11489, 1, 11489)
(14951, 1, 14951)
(16091, 1, 16091)
(17977, 1, 17977)
(19079, 1, 19079)
(20233, 1, 20233)
(23011, 1, 23011)
(27919, 1, 27919)
(28277, 1, 28277)
(29537, 1, 29537)
(29599, 1, 29599)
(35963, 1, 35963)
(36847, 1, 36847)
(37589, 1, 37589)
(40903, 1, 40903)
(100357, 1, 100357)
(80491, 1, 80491)
(80681, 1, 80681)
(80803, 1, 80803)
(120157, 1, 120157)
(81353, 1, 81353)
(48781, 1, 48781)
(62459, 1, 62459)
(50129, 1, 50129)
(122131, 1, 122131)
(63029, 1, 63029)
(63317, 1, 63317)
(50839, 1, 50839)
(104021, 1, 104021)
(123059, 1, 123059)
(123239, 1, 123239)
(123397, 1, 123397)
(141863, 1, 141863)
(85201, 1, 85201)
(161969, 1, 161969)
(85853, 1, 85853)
(106243, 1, 106243)
(66683, 1, 66683)
(163417, 1, 163417)
(67121, 1, 67121)
(108439, 1, 108439)
(87623, 1, 87623)
(87719, 1, 87719)
(109097, 1, 109097)
(88589, 1, 88589)
(88873, 1, 88873)
(109661, 1, 109661)
(109873, 1, 109873)
(55331, 1, 55331)
(89413, 1, 89413)
(89567, 1, 89567)
(129917, 1, 129917)
(110609, 1, 110609)
(111347, 1, 111347)
(131267, 1, 131267)
(71471, 1, 71471)
(112951, 1, 112951)
(92111, 1, 92111)
(150067, 1, 150067)
(150589, 1, 150589)
(151651, 1, 151651)
(172583, 1, 172583)
(180317, 1, 180317)
(135613, 1, 135613)
(180793, 1, 180793)
(153281, 1, 153281)
(182111, 1, 182111)
(76159, 1, 76159)
(183383, 1, 183383)
(156487, 1, 156487)
(139721, 1, 139721)
(185533, 1, 185533)
(157793, 1, 157793)
(187067, 1, 187067)
(220469, 1, 220469)
(200929, 1, 200929)
(260231, 1, 260231)
(179591, 1, 179591)
(260677, 1, 260677)
(188791, 1, 188791)
(262489, 1, 262489)
(262741, 1, 262741)
(192187, 1, 192187)
(245519, 1, 245519)
(246689, 1, 246689)
(227233, 1, 227233)
(284527, 1, 284527)
(246979, 1, 246979)
(267469, 1, 267469)
(305033, 1, 305033)
(267791, 1, 267791)
(268043, 1, 268043)
(268049, 1, 268049)
(268721, 1, 268721)
(209431, 1, 209431)
(306259, 1, 306259)
(250451, 1, 250451)
(320483, 1, 320483)
(211469, 1, 211469)
(288283, 1, 288283)
(271549, 1, 271549)
(212869, 1, 212869)
(198943, 1, 198943)
(252101, 1, 252101)
(289477, 1, 289477)
(271967, 1, 271967)
(272189, 1, 272189)
(272269, 1, 272269)
(252913, 1, 252913)
(323137, 1, 323137)
(253423, 1, 253423)
(310117, 1, 310117)
(214373, 1, 214373)
(214507, 1, 214507)
(214771, 1, 214771)
(234847, 1, 234847)
(215851, 1, 215851)
(312121, 1, 312121)
(255197, 1, 255197)
(312331, 1, 312331)
(235979, 1, 235979)
(294029, 1, 294029)
(313613, 1, 313613)
(218081, 1, 218081)
(327163, 1, 327163)
(295187, 1, 295187)
(277549, 1, 277549)
(238859, 1, 238859)
(342347, 1, 342347)
(345001, 1, 345001)
(345089, 1, 345089)
(345571, 1, 345571)
(346547, 1, 346547)
(346963, 1, 346963)
(279689, 1, 279689)
(347609, 1, 347609)
(348217, 1, 348217)
(298049, 1, 298049)
(348323, 1, 348323)
(331937, 1, 331937)
(349337, 1, 349337)
(382171, 1, 382171)
(350381, 1, 350381)
(382567, 1, 382567)
(422353, 1, 422353)
(382661, 1, 382661)
(382693, 1, 382693)
(382729, 1, 382729)
(333719, 1, 333719)
(382933, 1, 382933)
(363371, 1, 363371)
(319901, 1, 319901)
(351301, 1, 351301)
(335663, 1, 335663)
(404819, 1, 404819)
(365173, 1, 365173)
(425149, 1, 425149)
(336989, 1, 336989)
(406271, 1, 406271)
(426583, 1, 426583)
(337901, 1, 337901)
(388253, 1, 388253)
(368737, 1, 368737)
(339821, 1, 339821)
(408959, 1, 408959)
(429017, 1, 429017)
(390083, 1, 390083)
(410117, 1, 410117)
(390581, 1, 390581)
(390781, 1, 390781)
(354743, 1, 354743)
(430981, 1, 430981)
(412793, 1, 412793)
(392599, 1, 392599)
(432799, 1, 432799)
(392923, 1, 392923)
(413737, 1, 413737)
(433679, 1, 433679)
(375029, 1, 375029)
(359389, 1, 359389)
(375643, 1, 375643)
(415477, 1, 415477)
(417631, 1, 417631)
(437641, 1, 437641)
(418321, 1, 418321)
(439157, 1, 439157)
(419513, 1, 419513)
